epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1565.7,1.84269,1.18498,1.02257,0.67016,0.38173,0.42775,0.19711,1.83529,1.38993,1.16813,0.000658436,0.000658436,0.000658436
2,3151.83,1.81822,1.11206,1.01786,0.70174,0.37195,0.41578,0.19768,1.83026,1.3873,1.20917,0.000887819,0.000887819,0.000887819
3,4465.35,1.81171,1.07626,1.00126,0.70994,0.42281,0.47262,0.23175,1.69566,1.13821,1.11305,0.000573663,0.000573663,0.000573663
